m#node	C#degree	C#pagerank	C#clustering	C#closeness	C#betweenness	D#leiden	D#infomap	cD#class
Aage Rasmus Bjelland Figenschou	0.005634	0.000833	0.428571	0.111634	0.015735	7	2	1
Axel Camillo Eitzen	0.002817	0.000495	1.000000	0.094749	0.000000	7	2	1
Bjørn Johan Sjaastad	0.002817	0.000425	1.000000	0.110837	0.000000	15	2	1
Carl Erik Steen	0.008451	0.001032	0.515152	0.116587	0.017884	15	10	1
Heidi Marie Petersen	0.013380	0.001729	0.245614	0.127084	0.046849	14	0	2
Helene Jebsen Anker	0.019014	0.002571	0.185185	0.116428	0.040074	8	8	2
Ola Røthe	0.004930	0.000920	0.428571	0.094801	0.002531	7	2	1
Siv Jønland Staubo	0.005634	0.000899	0.428571	0.094959	0.010017	7	2	2
Toril Eidesvik	0.006338	0.000987	0.444444	0.097452	0.002554	7	2	2
Ada Merethe Stokstad Kjeseth	0.003521	0.000658	1.000000	0.069029	0.000000	4	7	2
Anita Marie Hjerkinn Aarnæs	0.003521	0.000658	1.000000	0.069029	0.000000	4	7	2
Bjørn Halvor Kise	0.005634	0.001082	0.464286	0.069141	0.010017	4	7	1
Daniel Andreas Skjeldam	0.003521	0.000658	1.000000	0.069029	0.000000	4	7	1
John Einar Høsteland	0.011268	0.001923	0.233333	0.077790	0.021081	4	7	1
Kristin Farstad	0.003521	0.000658	1.000000	0.069029	0.000000	4	7	2
Adine Charlotte Grate Axen	0.003521	0.000568	1.000000	0.097842	0.000000	15	10	2
Anders Brandt	0.003521	0.000568	1.000000	0.097842	0.000000	15	10	1
Anne-Lise Aukner	0.006338	0.000894	0.444444	0.111634	0.002939	15	10	2
Arve Johansen	0.006338	0.000931	0.444444	0.106795	0.001946	15	10	1
Dag Mejdell	0.003521	0.000568	1.000000	0.097842	0.000000	15	10	1
Hilde Lovise Ringereide	0.003521	0.000568	1.000000	0.097842	0.000000	15	10	2
Ådne Kverneland	0.003521	0.000704	1.000000	0.003521	0.000000	39	30	1
Jan Einar Greve	0.003521	0.000704	1.000000	0.003521	0.000000	39	30	1
Lars Gustaf Ander	0.003521	0.000704	1.000000	0.003521	0.000000	39	30	1
Lena Kristina Samuelsson	0.003521	0.000704	1.000000	0.003521	0.000000	39	30	2
Rolv Erik Ryssdal	0.003521	0.000704	1.000000	0.003521	0.000000	39	30	1
Ruth Elisabeth Ropstad	0.003521	0.000704	1.000000	0.003521	0.000000	39	30	2
Åge Jan Danielsen	0.002113	0.000498	1.000000	0.100157	0.000000	12	0	1
Grethe Høiland	0.004930	0.000896	0.428571	0.120113	0.002531	12	0	2
Ingebrigt Steen Jensen	0.002113	0.000498	1.000000	0.100157	0.000000	12	0	1
Randi Helene Røed	0.002113	0.000498	1.000000	0.100157	0.000000	12	0	2
