m#node	C#node2vec-0	C#node2vec-1	C#node2vec-2	C#node2vec-3	C#node2vec-4	C#node2vec-5	C#node2vec-6	C#node2vec-7	C#node2vec-8	C#node2vec-9	C#node2vec-10	C#node2vec-11	C#node2vec-12	C#node2vec-13	C#node2vec-14	C#node2vec-15	C#node2vec-16	C#node2vec-17	C#node2vec-18	C#node2vec-19	C#node2vec-20	C#node2vec-21	C#node2vec-22	C#node2vec-23	C#node2vec-24	C#node2vec-25	C#node2vec-26	C#node2vec-27	C#node2vec-28	C#node2vec-29	C#node2vec-30	C#node2vec-31	cD#class
Aage Rasmus Bjelland Figenschou	1.0265977	-0.24480438	-0.11734491	0.46106777	-0.008983572	-0.120231986	0.6497489	0.3086502	-0.37308088	1.0668756	0.519364	-0.7697525	-0.21027504	-0.5508001	-0.75958365	0.45620793	0.11624791	-0.38439587	-0.7296317	0.03924268	0.6088871	0.72148794	0.76928663	-0.82405144	-0.81794083	0.30752134	-1.3482301	0.6618047	-0.6089749	1.2884917	-0.41822916	-0.17471413	1
Axel Camillo Eitzen	0.813839	0.028771019	-0.18195824	0.44256952	0.115234	-0.13567112	0.7487968	0.39536378	-0.07226507	1.4101003	0.93118215	-0.5481071	-0.20893234	-0.43872723	-1.2072141	0.27546138	0.6989302	-0.58089185	-0.80240774	0.27607724	0.5828091	0.88739455	0.71934956	-0.6190654	-0.7794894	0.41295493	-1.7027783	0.7151105	-0.67664933	1.1204402	-0.31121454	-0.60704046	1
Bjørn Johan Sjaastad	1.1989733	-0.24776258	0.16081417	0.4779298	0.14226086	-0.2810972	0.6375314	0.27643627	-0.73270005	0.8179856	0.23049974	-0.6780538	-0.14492354	-0.6700282	-0.39711875	0.41462007	-0.14834972	-0.47667113	-0.41393968	-0.1359378	0.8849006	0.6683696	1.054261	-0.61410785	-0.438053	0.13567752	-1.1585764	0.65875506	-0.75207597	1.2109833	-0.45509228	0.01770806	1
Carl Erik Steen	1.3632096	-0.6340077	-0.41557416	0.46169543	0.44259524	-0.039260313	0.4575929	0.070279635	-0.63287246	1.0074818	0.14433374	-0.8914675	-0.66216826	-0.68620247	-0.41136903	0.4339243	-0.5119787	-0.34968206	-0.20745401	-0.08572264	0.7484242	0.43085438	0.9599576	-0.52397686	-0.17486612	0.18728861	-1.1394243	0.4313024	-0.8449519	1.2017465	-0.56555754	-0.03140961	1
Heidi Marie Petersen	1.1212398	-0.46295157	0.28621313	0.44232717	-0.097273536	-0.5826659	0.84304416	1.0124944	-0.37469655	0.6297338	-0.3742335	-0.60812944	-0.075138405	-0.14382392	0.012761292	0.3999941	0.016503079	-0.6304492	-0.11905152	0.18811586	0.7631081	0.7433433	1.2214736	-0.56850547	0.14540704	0.36916494	-0.8651765	0.8048078	-0.76223624	1.007067	-0.8736315	-0.048953936	2
Helene Jebsen Anker	0.7512658	-0.44255203	-0.1384536	0.37592733	0.14435011	-0.39279592	0.79533154	-0.28395268	-1.3564677	0.52559525	0.47561628	-0.96208304	0.06692551	-0.7461803	0.04190094	1.2103448	-0.31497157	-0.2368351	-0.770565	-0.14833134	0.19849575	0.47995257	1.0072932	-0.9377719	-0.34007007	-0.080056936	-1.2126408	0.8336868	-0.63236654	0.7954593	-0.60253316	-0.22132742	2
Ola Røthe	0.94230217	0.10128917	0.29336518	0.23230237	0.37469253	0.14411826	0.4969749	0.22492881	0.3061089	1.3579875	0.9293457	-0.9370443	-0.25049967	-0.5696869	-1.4211534	0.36310384	0.747576	-0.6098579	-0.8506032	0.24314642	0.53087395	0.58257395	0.7944964	-0.44004712	-0.8771595	0.41588357	-1.8009454	0.7714868	-0.66941494	1.0243692	-0.35254478	-0.6747695	1
Siv Jønland Staubo	0.68763036	0.25638202	-0.13353886	0.44044095	0.097856835	-0.17214897	0.8175854	0.16816343	-0.18512046	1.4327536	1.0066904	-0.6105062	-0.20159478	-0.26813447	-1.2906251	-0.025419407	0.5546903	-0.53179425	-0.7147718	0.28662536	0.32648966	0.6824233	0.72027797	-0.7355073	-0.86505955	0.37951043	-1.9593405	0.3000986	-0.54907453	1.1399565	-0.4454023	-0.257639	2
Toril Eidesvik	0.7389813	0.19807282	-0.44343454	0.5133701	0.3719237	0.27295092	0.6361406	0.43887004	0.056112517	1.5059953	1.2228142	-0.741361	0.15993924	-0.4289571	-0.83867544	0.06004637	0.91815484	-0.5502818	-0.5110013	0.25541732	0.44995704	1.0791671	0.5147078	-0.18941338	-0.78829765	0.43795186	-1.9055828	0.8418147	-0.47306457	1.355089	-0.31847116	-0.54027045	2
Ada Merethe Stokstad Kjeseth	-0.9087905	-0.8077185	-0.48108575	0.17854518	0.33496708	0.45498157	-0.09390895	0.48804393	-0.80888784	0.07846573	0.6676816	-1.3059967	0.5742197	-1.2835187	-0.52144027	0.639874	-0.7065072	-0.92784923	1.0136491	1.580826	0.23023246	-0.56115615	0.8655157	-0.4659665	-0.5111831	-0.1328915	-2.1471245	-0.4071827	0.59927124	0.6442038	0.112151854	0.83492595	2
