m#node	C#degree	C#pagerank	C#clustering	C#closeness	C#betweenness	D#leiden	D#infomap	cD#class
java.applet.Applet	0.036304	0.001921	0.207407	0.493807	0.002198	2	2	1
java.applet.AppletContext	0.007261	0.000564	0.400000	0.476415	0.000199	0	16	1
java.applet.AppletStub	0.003300	0.000304	0.900000	0.472110	0.000000	0	16	1
java.applet.AudioClip	0.001980	0.000214	1.000000	0.331220	0.000000	0	16	1
java.awt.AWTError	0.004620	0.000377	0.952381	0.477316	0.000000	1	1	2
java.awt.AWTEvent	0.045545	0.002525	0.158568	0.494129	0.002075	2	2	2
java.awt.AWTEventMulticaster	0.023102	0.001395	0.191597	0.486513	0.001827	2	2	2
java.awt.AWTException	0.004620	0.000374	0.952381	0.477617	0.000000	1	1	2
java.awt.AWTKeyStroke	0.003960	0.000350	0.800000	0.477466	0.000001	0	0	2
java.awt.AWTPermission	0.003960	0.000352	1.000000	0.476865	0.000000	0	9	2
java.awt.ActiveEvent	0.001980	0.000258	0.000000	0.324550	0.000001	0	41	2
java.awt.Adjustable	0.003960	0.000324	0.200000	0.332529	0.000005	2	38	2
java.awt.AlphaComposite	0.004620	0.000400	0.571429	0.479734	0.000697	5	4	2
java.awt.AttributeValue	0.001980	0.000222	1.000000	0.476415	0.000000	0	0	2
java.awt.BasicStroke	0.003300	0.000323	0.400000	0.477165	0.000643	5	4	2
java.awt.BorderLayout	0.005281	0.000389	0.857143	0.481411	0.000001	2	2	2
java.awt.BufferCapabilities	0.020462	0.001042	0.260215	0.485266	0.000527	2	2	2
java.awt.Button	0.029703	0.001493	0.230303	0.491883	0.000837	2	2	2
java.awt.Canvas	0.030363	0.001521	0.229952	0.492043	0.000707	2	2	2
java.awt.CardLayout	0.005281	0.000389	0.857143	0.481411	0.000001	2	2	2
java.awt.Checkbox	0.031023	0.001584	0.213691	0.492523	0.001215	2	2	2
java.awt.CheckboxGroup	0.003960	0.000319	0.600000	0.479582	0.000002	2	0	2
java.awt.CheckboxMenuItem	0.008581	0.000592	0.384615	0.480800	0.000760	2	2	2
java.awt.Choice	0.030363	0.001539	0.220290	0.492363	0.001193	2	2	2
java.awt.Color	0.036964	0.001857	0.246753	0.492843	0.000927	2	2	2
java.awt.ColorPaintContext	0.003960	0.000329	0.800000	0.479279	0.000089	5	4	2
java.awt.Component	0.075908	0.003987	0.230053	0.506012	0.004789	2	2	2
java.awt.ComponentOrientation	0.016502	0.000875	0.460000	0.485888	0.000010	2	2	2
java.awt.Composite	0.003300	0.000308	0.400000	0.336218	0.000013	5	4	2
java.awt.CompositeContext	0.002640	0.000275	0.333333	0.327214	0.000001	5	4	2
java.awt.Container	0.050825	0.002637	0.356118	0.499176	0.002383	2	2	2
java.awt.ContainerOrderFocusTraversalPolicy	0.005941	0.000425	0.833333	0.482024	0.000001	2	2	2
java.awt.Cursor	0.018482	0.000989	0.396825	0.487138	0.000263	2	2	2
java.awt.DefaultFocusTraversalPolicy	0.004620	0.000350	1.000000	0.481564	0.000000	2	2	2
java.awt.DefaultKeyboardFocusManager	0.009901	0.000692	0.514286	0.483716	0.001054	2	2	2
java.awt.Desktop	0.003300	0.000316	1.000000	0.477316	0.000000	0	20	2
java.awt.Dialog	0.040924	0.002048	0.268641	0.495260	0.001550	2	2	2
java.awt.Dimension	0.037624	0.002018	0.214912	0.492363	0.002012	2	2	2
java.awt.DisplayMode	0.002640	0.000266	1.000000	0.476565	0.000000	0	0	2
java.awt.Event	0.021122	0.001130	0.429435	0.487452	0.000163	2	2	2
java.awt.EventDispatchThread	0.005281	0.000431	0.750000	0.477617	0.000002	3	33	2
java.awt.EventFilter	0.001320	0.000187	1.000000	0.330858	0.000000	2	44	2
java.awt.EventQueue	0.003960	0.000330	0.600000	0.479734	0.000106	3	0	2
java.awt.EventQueueItem	0.001980	0.000222	1.000000	0.476415	0.000000	0	0	2
java.awt.FileDialog	0.038944	0.001983	0.250731	0.494775	0.001467	2	2	2
java.awt.FlowLayout	0.005281	0.000382	0.821429	0.481411	0.000003	2	2	2
java.awt.FocusManager	0.002640	0.000260	0.833333	0.476715	0.000000	0	0	2
java.awt.FocusTraversalPolicy	0.009901	0.000600	0.676190	0.483716	0.000005	2	2	2
java.awt.Font	0.048845	0.002782	0.185117	0.496884	0.004897	2	2	2
java.awt.FontFormatException	0.004620	0.000374	0.952381	0.477617	0.000000	1	1	2
java.awt.FontMetrics	0.033003	0.001641	0.275102	0.492203	0.000600	2	2	2
java.awt.Frame	0.039604	0.002004	0.249153	0.494936	0.001611	2	2	2
java.awt.GradientPaint	0.007921	0.000530	0.666667	0.480952	0.000203	5	4	2
java.awt.GradientPaintContext	0.005941	0.000427	0.694444	0.480038	0.000091	5	4	2
java.awt.Graphics	0.038944	0.001976	0.310929	0.494129	0.001211	2	2	2
java.awt.Graphics2D	0.022442	0.001377	0.276292	0.486513	0.001439	5	4	2
java.awt.GraphicsCallback	0.004620	0.000348	0.809524	0.481564	0.000051	2	2	2
java.awt.GraphicsConfigTemplate	0.003960	0.000332	0.800000	0.478220	0.000001	2	0	2
java.awt.GraphicsConfiguration	0.034983	0.001711	0.345428	0.492683	0.000578	2	2	2
java.awt.GraphicsDevice	0.006601	0.000516	0.577778	0.481564	0.000006	2	0	2
java.awt.GraphicsEnvironment	0.006601	0.000462	0.666667	0.481870	0.000005	2	2	2
java.awt.GridBagConstraints	0.004620	0.000370	0.666667	0.478069	0.000016	3	0	2
java.awt.GridBagLayout	0.006601	0.000464	0.755556	0.482330	0.000004	2	2	2
java.awt.GridBagLayoutInfo	0.002640	0.000260	0.833333	0.476715	0.000000	0	0	2
java.awt.GridLayout	0.005281	0.000382	0.821429	0.481411	0.000003	2	2	2
java.awt.HeadlessException	0.004620	0.000379	0.952381	0.477316	0.000000	1	1	2
java.awt.IllegalComponentStateException	0.004620	0.000376	0.952381	0.477316	0.000000	1	1	2
java.awt.Image	0.043564	0.002305	0.248485	0.494936	0.002181	2	2	2
java.awt.ImageCapabilities	0.018482	0.000950	0.500000	0.487138	0.000049	2	2	2
java.awt.ImageMediaEntry	0.004620	0.000374	0.571429	0.479127	0.000038	0	0	2
java.awt.Insets	0.015182	0.000873	0.324111	0.485266	0.000903	2	2	2
java.awt.ItemSelectable	0.003960	0.000305	0.333333	0.332237	0.000001	2	2	2
java.awt.JobAttributes	0.003300	0.000289	0.600000	0.478976	0.000016	0	0	2
java.awt.KeyEventDispatcher	0.001980	0.000219	1.000000	0.327073	0.000000	2	2	2
java.awt.KeyEventPostProcessor	0.001980	0.000219	1.000000	0.327073	0.000000	2	2	2
java.awt.KeyboardFocusManager	0.009901	0.000692	0.514286	0.483716	0.001054	2	2	2
java.awt.Label	0.029043	0.001456	0.239958	0.491723	0.000695	2	2	2
java.awt.LayoutManager	0.009241	0.000551	0.582418	0.475817	0.000006	2	2	2
java.awt.LayoutManager2	0.005941	0.000425	0.805556	0.480495	0.000003	2	2	2
java.awt.LightweightDispatcher	0.003960	0.000341	0.600000	0.478673	0.000293	2	0	2
java.awt.LinearGradientPaint	0.007261	0.000502	0.672727	0.480800	0.000092	5	4	2
java.awt.LinearGradientPaintContext	0.003960	0.000335	1.000000	0.479279	0.000000	5	4	2
java.awt.List	0.031023	0.001575	0.211841	0.492523	0.001336	2	2	2
java.awt.MediaEntry	0.002640	0.000267	1.000000	0.476715	0.000000	0	0	2
java.awt.MediaTracker	0.003960	0.000319	0.866667	0.481105	0.000000	2	0	2
java.awt.Menu	0.009901	0.000665	0.600000	0.480800	0.000945	2	2	2
java.awt.MenuBar	0.009901	0.000639	0.571429	0.483254	0.000288	2	2	2
java.awt.MenuComponent	0.021122	0.001117	0.479839	0.487766	0.000321	2	2	2
java.awt.MenuContainer	0.006601	0.000428	0.711111	0.340220	0.000003	2	2	2
java.awt.MenuItem	0.011221	0.000748	0.566176	0.481411	0.000395	2	2	2
java.awt.MenuShortcut	0.005941	0.000440	0.722222	0.478371	0.000002	2	2	2
java.awt.ModalEventFilter	0.003300	0.000332	0.700000	0.478220	0.000592	2	44	2
java.awt.MouseInfo	0.002640	0.000272	1.000000	0.476565	0.000000	0	0	2
java.awt.MultipleGradientPaint	0.007921	0.000544	0.696970	0.480952	0.000203	5	4	2
java.awt.MultipleGradientPaintContext	0.005281	0.000424	0.785714	0.479582	0.000090	5	4	2
java.awt.MutableBoolean	0.001980	0.000222	1.000000	0.476415	0.000000	0	0	2
java.awt.PageAttributes	0.003300	0.000289	0.600000	0.478976	0.000016	0	0	2
java.awt.Paint	0.007921	0.000532	0.515152	0.339078	0.000019	5	4	2
java.awt.PaintContext	0.009241	0.000634	0.285714	0.334881	0.000010	5	4	2
java.awt.Panel	0.032343	0.001620	0.246599	0.492843	0.000824	2	2	2
java.awt.PeerFixer	0.003960	0.000349	0.600000	0.477466	0.000195	2	38	2
java.awt.Point	0.042244	0.002269	0.177083	0.494613	0.002410	2	2	2
java.awt.PointerInfo	0.003960	0.000354	0.800000	0.478522	0.000001	0	0	2
java.awt.Polygon	0.008581	0.000569	0.641026	0.481564	0.000114	5	4	2
java.awt.PopupMenu	0.021782	0.001159	0.446970	0.487923	0.000444	2	2	2
java.awt.PrintGraphics	0.000660	0.000152	0.000000	0.324272	0.000000	2	2	2
java.awt.PrintJob	0.004620	0.000439	0.619048	0.479734	0.001320	2	2	2
java.awt.Queue	0.001980	0.000222	1.000000	0.476415	0.000000	0	0	2
java.awt.RadialGradientPaint	0.007261	0.000502	0.672727	0.480800	0.000092	5	4	2
java.awt.RadialGradientPaintContext	0.003960	0.000335	1.000000	0.479279	0.000000	5	4	2
java.awt.Rectangle	0.060726	0.003321	0.171524	0.499341	0.003177	2	2	2
java.awt.RenderingHints	0.021122	0.001383	0.203629	0.484180	0.001190	5	4	2
java.awt.Robot	0.004620	0.000359	0.809524	0.479886	0.000001	2	0	2
java.awt.ScrollPane	0.032343	0.001636	0.205782	0.492843	0.001183	2	2	2
java.awt.ScrollPaneAdjustable	0.003960	0.000351	0.400000	0.477617	0.000474	2	38	2
java.awt.Scrollbar	0.030363	0.001547	0.220290	0.492363	0.001354	2	2	2
java.awt.SentEvent	0.003300	0.000326	0.600000	0.478371	0.000428	0	41	2
java.awt.SequencedEvent	0.003300	0.000326	0.600000	0.478371	0.000428	0	41	2
java.awt.Shape	0.016502	0.001104	0.280000	0.339458	0.000069	5	4	2
java.awt.SplashScreen	0.004620	0.000357	0.809524	0.479734	0.000002	0	0	2
java.awt.Stroke	0.001980	0.000226	0.666667	0.328420	0.000000	5	4	2
java.awt.SystemColor	0.007921	0.000536	0.636364	0.481105	0.000098	5	4	2
java.awt.SystemTray	0.003960	0.000323	0.666667	0.478976	0.000030	2	2	2
java.awt.TextArea	0.030363	0.001525	0.262802	0.492203	0.000937	2	2	2
java.awt.TextComponent	0.031023	0.001553	0.293247	0.492363	0.000937	2	2	2
java.awt.TextField	0.031023	0.001561	0.252544	0.492363	0.001080	2	2	2
java.awt.TexturePaint	0.007261	0.000501	0.600000	0.481258	0.000204	5	4	2
java.awt.TexturePaintContext	0.007261	0.000503	0.654545	0.481411	0.000093	5	4	2
java.awt.Toolkit	0.044884	0.002339	0.294996	0.496559	0.001947	2	2	2
java.awt.Transparency	0.002640	0.000229	0.500000	0.334363	0.000001	5	4	2
java.awt.TrayIcon	0.006601	0.000453	0.377778	0.480647	0.000187	2	2	2
java.awt.VKCollection	0.002640	0.000273	1.000000	0.476565	0.000000	0	0	2
java.awt.Window	0.044224	0.002352	0.214835	0.496559	0.002919	2	2	2
java.awt.color.CMMException	0.004620	0.000375	0.952381	0.477316	0.000000	1	1	3
java.awt.color.ColorSpace	0.008581	0.000619	0.551282	0.480342	0.000008	5	4	3
java.awt.color.ICC_ColorSpace	0.003300	0.000309	0.900000	0.476715	0.000000	0	0	3
java.awt.color.ICC_Profile	0.005941	0.000494	0.666667	0.477918	0.000003	0	7	3
java.awt.color.ICC_ProfileGray	0.003960	0.000350	0.933333	0.477316	0.000000	0	7	3
java.awt.color.ICC_ProfileRGB	0.003960	0.000350	0.933333	0.477316	0.000000	0	7	3
java.awt.color.ProfileDataException	0.004620	0.000375	0.952381	0.477316	0.000000	1	1	3
java.awt.datatransfer.Clipboard	0.006601	0.000589	0.488889	0.480495	0.001222	6	21	4
java.awt.datatransfer.ClipboardOwner	0.001980	0.000250	1.000000	0.325456	0.000000	6	21	4
java.awt.datatransfer.DataFlavor	0.011221	0.000877	0.301471	0.480190	0.000304	6	21	4
java.awt.datatransfer.FlavorEvent	0.003960	0.000384	0.666667	0.477316	0.000616	6	29	4
java.awt.datatransfer.FlavorListener	0.001980	0.000241	0.333333	0.329276	0.000005	6	29	4
java.awt.datatransfer.FlavorMap	0.003300	0.000308	0.300000	0.335548	0.000005	3	21	4
java.awt.datatransfer.FlavorTable	0.003960	0.000361	0.466667	0.471963	0.000112	3	21	4
java.awt.datatransfer.MimeType	0.005281	0.000463	0.464286	0.477767	0.000236	6	10	4
java.awt.datatransfer.MimeTypeParameterList	0.003960	0.000350	0.533333	0.477165	0.000017	0	0	4
java.awt.datatransfer.MimeTypeParseException	0.004620	0.000374	0.952381	0.477617	0.000000	1	1	4
java.awt.datatransfer.StringSelection	0.004620	0.000434	0.714286	0.477767	0.000553	6	21	4
java.awt.datatransfer.SystemFlavorMap	0.005281	0.000447	0.500000	0.477767	0.000308	3	21	4
java.awt.datatransfer.Transferable	0.007261	0.000620	0.327273	0.467881	0.000385	6	21	4
java.awt.datatransfer.UnsupportedFlavorException	0.005281	0.000418	0.821429	0.478069	0.000001	1	1	4
java.awt.dnd.Autoscroll	0.001320	0.000161	0.000000	0.331292	0.000000	2	2	5
java.awt.dnd.DnDConstants	0.001980	0.000222	1.000000	0.476415	0.000000	0	0	5
java.awt.dnd.DnDEventMulticaster	0.026403	0.001614	0.167949	0.487295	0.002330	2	2	5
java.awt.dnd.DragGestureEvent	0.011881	0.000786	0.431373	0.484645	0.000455	2	2	5
java.awt.dnd.DragGestureListener	0.003960	0.000320	0.533333	0.336218	0.000008	2	2	5
java.awt.dnd.DragGestureRecognizer	0.007261	0.000520	0.727273	0.482484	0.000238	2	2	5
java.awt.dnd.DragSource	0.011881	0.000801	0.450980	0.484490	0.001037	2	2	5
java.awt.dnd.DragSourceAdapter	0.005281	0.000441	0.642857	0.477617	0.000387	2	2	5
java.awt.dnd.DragSourceContext	0.011221	0.000765	0.485294	0.484180	0.000689	2	2	5
java.awt.dnd.DragSourceDragEvent	0.006601	0.000504	0.666667	0.482177	0.000393	2	2	5
java.awt.dnd.DragSourceDropEvent	0.005941	0.000457	0.750000	0.482024	0.000152	2	2	5
java.awt.dnd.DragSourceEvent	0.007261	0.000544	0.690909	0.482330	0.000155	2	2	5
java.awt.dnd.DragSourceListener	0.005941	0.000459	0.416667	0.332529	0.000012	2	2	5
java.awt.dnd.DragSourceMotionListener	0.003960	0.000337	0.333333	0.331873	0.000007	2	2	5
java.awt.dnd.DropTarget	0.021122	0.001283	0.300403	0.487609	0.002660	2	2	5
java.awt.dnd.DropTargetAdapter	0.004620	0.000402	0.809524	0.477316	0.000237	6	21	5
java.awt.dnd.DropTargetContext	0.006601	0.000518	0.644444	0.481870	0.000533	6	21	5
java.awt.dnd.DropTargetDragEvent	0.007921	0.000604	0.469697	0.480800	0.000265	6	21	5
java.awt.dnd.DropTargetDropEvent	0.007921	0.000604	0.469697	0.480800	0.000265	6	21	5
java.awt.dnd.DropTargetEvent	0.006601	0.000528	0.711111	0.478371	0.000241	6	21	5
java.awt.dnd.DropTargetListener	0.003960	0.000350	0.533333	0.332310	0.000012	6	21	5
java.awt.dnd.InvalidDnDOperationException	0.004620	0.000376	0.952381	0.477316	0.000000	1	1	5
java.awt.dnd.MouseDragGestureRecognizer	0.007261	0.000513	0.563636	0.482024	0.000313	2	2	5
java.awt.dnd.SerializationTester	0.001980	0.000222	1.000000	0.476415	0.000000	0	0	5
java.awt.dnd.peer.DragSourceContextPeer	0.003300	0.000256	0.600000	0.335846	0.000000	2	2	6
java.awt.dnd.peer.DropTargetContextPeer	0.001980	0.000225	0.333333	0.329062	0.000001	6	21	6
java.awt.dnd.peer.DropTargetPeer	0.000660	0.000133	0.000000	0.327851	0.000000	2	2	6
java.awt.event.AWTEventListener	0.003300	0.000292	0.300000	0.337492	0.000008	2	2	7
java.awt.event.AWTEventListenerProxy	0.004620	0.000389	0.571429	0.482945	0.000472	2	2	7
