m#node	C#node2vec-0	C#node2vec-1	C#node2vec-2	C#node2vec-3	C#node2vec-4	C#node2vec-5	C#node2vec-6	C#node2vec-7	C#node2vec-8	C#node2vec-9	C#node2vec-10	C#node2vec-11	C#node2vec-12	C#node2vec-13	C#node2vec-14	C#node2vec-15	C#node2vec-16	C#node2vec-17	C#node2vec-18	C#node2vec-19	C#node2vec-20	C#node2vec-21	C#node2vec-22	C#node2vec-23	C#node2vec-24	C#node2vec-25	C#node2vec-26	C#node2vec-27	C#node2vec-28	C#node2vec-29	C#node2vec-30	C#node2vec-31	cD#class
java.applet.Applet	0.061873823	-0.5381152	0.46371308	0.50090265	-0.10921791	-0.28210363	0.63518345	-0.2955907	0.4529609	-0.5604109	0.15732802	-0.52832854	0.13541573	0.2590094	0.0249094	0.02782798	0.3393168	-0.32017964	0.024244426	0.20735449	0.17136046	1.0292625	0.47602388	0.70912933	-0.22196442	-0.15909699	-0.6222564	0.36918595	0.14124021	-0.043762513	-0.40442753	0.31160653	1
java.applet.AppletContext	-0.17442448	-1.1368684	0.6212046	0.41556036	-0.2855856	-0.5491948	0.9571863	0.39807746	0.11017843	-0.16100453	0.10850557	-0.4173796	-0.5678336	0.852735	-0.3450189	0.23734894	0.19373854	-0.042731818	0.12697846	0.38422966	-0.17656635	0.60385084	0.5588798	0.46136776	-0.35839477	-0.635587	-0.20158572	0.5538373	-0.20043999	-0.20822906	-0.7029786	-0.06268521	1
java.applet.AppletStub	-0.18157534	-0.592859	0.95804155	0.32939434	-0.074963905	-0.7886074	0.92464286	0.1681	0.3537553	-0.040355187	0.04084123	-0.1283926	-0.4112932	0.514271	-0.45177895	0.43535048	0.50369376	-0.18130621	0.29582766	-0.028558755	-0.3241454	0.91207206	0.73807985	0.59655696	-0.16610451	-0.42320013	-0.73227537	0.43281946	0.031485576	-0.12230072	-0.3472582	-0.09771332	1
java.applet.AudioClip	-0.03667507	-1.3306991	0.57870525	0.5688758	-0.35071835	-0.61357135	1.1118574	0.21463674	0.35631904	-0.48298806	0.43828762	-0.5207792	-0.27769127	0.9715757	-0.35057035	0.27426156	0.41615698	-0.27421248	-0.030855158	0.48247308	0.022109011	0.6822556	0.6950289	0.5857838	-0.5362979	-0.53066415	-0.50783634	0.5463405	-0.22568138	0.058098733	-0.7323833	-0.12096801	1
java.awt.AWTError	-0.18461879	0.004126319	0.00982569	0.16135968	0.30398762	-0.7469922	0.7831074	0.23730563	0.107280105	-0.15520594	0.1796411	0.09321388	0.2708787	-0.5320815	-0.35476497	-0.5285448	0.2258939	0.21564858	0.029092647	0.0851294	-0.07705759	0.5938267	0.36559296	-0.3154613	-0.05150252	0.05338496	-0.15896706	0.24724871	-0.12648942	-0.31127793	0.090562254	-0.057959117	2
java.awt.AWTEvent	-0.055183005	-0.6122748	-0.20538405	0.14784396	-0.6673092	-0.53802633	0.09349143	-0.5872137	-0.4243043	-0.3496747	-0.29999918	-0.63361186	-0.21456493	-0.36698595	0.5973316	-0.35771954	-0.5512845	-0.85976624	-0.3500501	0.32009456	0.5578241	0.6973086	0.31987798	0.30437854	-0.10497423	0.116967596	-1.0298431	0.2974261	-0.0044802865	0.041955248	-0.0030544645	0.46047047	2
java.awt.AWTEventMulticaster	0.062231667	-0.62028223	-0.14097379	0.6802243	0.23846307	-0.3558075	-0.10767728	-0.11409324	-0.6479215	-0.30610737	0.3794997	-1.0042276	0.5311627	-0.41029912	-0.07876899	-0.2965129	-0.015027777	-0.48820743	-0.10384924	0.4939962	-0.30656022	0.46941915	-0.08548982	0.4179837	0.012605226	-0.23493044	-0.9790437	0.54228985	0.18288727	0.6397224	0.14131512	0.8504407	2
java.awt.AWTException	0.16313648	-0.31736422	-0.014700434	-0.17791806	0.066348955	-0.469314	0.22891589	0.25144798	-0.1614929	-0.10909062	0.37567762	0.13994524	0.22424015	-0.87927455	0.063461185	-0.5237756	-0.1326603	0.15375265	-0.08121441	0.21219872	-0.18543084	0.46240357	0.31846896	-0.3679639	-0.22477557	-0.090794474	-0.27374458	0.22970775	0.026226478	-0.16995963	-0.21429126	0.12128408	2
java.awt.AWTKeyStroke	-0.12211673	-0.34974062	0.03556957	0.5212512	-0.029150147	-0.20565644	-0.28430736	0.19214574	-0.79953825	0.2239657	0.1838337	-0.8500078	0.6206038	-0.27041715	-0.10098544	-0.458321	-0.081101365	-0.02117832	0.14352837	-0.09500769	-0.15272816	0.021511884	0.78840977	-0.058457505	0.11825356	-0.40873018	-0.25279903	0.22781143	-0.17272784	-0.48185828	0.40492424	0.09192177	2
java.awt.AWTPermission	-0.0017622086	-0.47691643	0.17806081	0.0016213747	-0.02766688	-0.5363654	0.6785832	0.4441398	-0.9008344	0.23493814	-0.16635127	-0.42779136	0.14958015	-0.14134243	-0.06372992	-0.12973833	0.23559831	-0.0048766527	0.12852351	0.089093775	0.041289113	0.22021091	-0.062026106	-0.49400148	0.19644041	0.4399442	0.13831696	0.9458222	0.14088723	-0.873991	0.28728184	-0.21543315	2
java.awt.ActiveEvent	0.080953546	-0.35980332	0.28936857	-0.21679524	-1.0848647	-0.66244286	-0.09898073	0.018355984	-0.82148015	-0.27578518	-0.14937052	0.014720437	-0.2669685	-1.0341281	0.7487861	-0.23249325	-1.1058233	-0.59854287	0.16650532	-0.0008149712	0.23607467	0.8896812	0.26357776	-0.62954324	-0.51977783	-0.09515365	-0.8497296	0.16138898	0.39196113	0.3299401	0.033494182	0.25578713	2
java.awt.Adjustable	-0.49914736	-1.3212612	0.21330374	1.0795057	-0.087566614	-0.3809608	0.41872206	0.32690307	-0.0986094	-0.8288142	-0.34957102	-0.92815274	0.16902302	-0.07532725	0.2907603	-0.8417793	-0.47276253	-0.24139644	0.11044405	1.2806221	0.5071406	0.4681058	-0.65678316	0.18898833	-0.19439505	0.6592293	-0.98304695	0.03428729	0.35154337	-0.13452965	0.24140438	0.35607147	2
java.awt.AlphaComposite	0.4280793	-0.41111398	-0.4830137	0.024028532	-0.48194888	-0.3932382	-0.30949765	0.39321876	-0.2778538	-0.1926025	0.30702564	0.038097966	0.37907615	-0.030016106	0.4721724	0.36789244	0.7138484	0.11892403	-0.60689515	0.7635145	0.013138229	0.96294785	-0.20438795	-0.214109	-0.08456393	0.10200388	-0.10136203	-0.23774205	-0.04372407	-0.63720673	0.38609737	0.10881284	2
java.awt.AttributeValue	0.027986187	-0.056453697	0.15839322	0.10350443	0.117068395	-0.3262949	0.46325982	0.004265281	-0.38780394	0.23545264	0.20382832	-0.38013604	-0.14921112	-0.17550988	-0.15582575	0.04825029	0.07580175	0.2413893	0.2745251	0.24908751	-0.046787567	0.45830864	0.046836935	-0.44351304	-0.0925071	-0.1245431	-0.33200455	-0.11046368	-0.106583305	-0.020223659	0.3578232	-0.16108584	2
java.awt.BasicStroke	-0.81034505	-0.17088725	-0.09087418	-0.3861676	-0.014109368	-0.072696015	0.04749502	0.7885458	-0.33555183	0.28038484	0.65928054	-0.09240184	-0.29169634	-0.17361423	-0.042657785	0.39289048	0.32354325	0.13680209	0.41882044	0.2581361	0.23816977	1.002957	0.09765195	0.18661942	-0.14925767	0.2366789	-0.23938335	0.017535292	0.4836714	-0.0023180468	0.41735926	0.33377138	2
java.awt.BorderLayout	0.2924066	-0.5272189	0.5535125	0.27230468	0.34922364	0.007668959	-0.059875596	-0.5107859	-0.2551796	0.03073164	0.29349324	-0.5126317	-0.014277122	0.15753089	-0.22160119	-0.5099405	0.04875911	-0.02413115	0.16023375	0.22695209	0.51040405	0.23302689	0.89668286	0.107655115	-0.1498464	0.49086264	-0.3582785	0.3542634	-0.22893055	-0.3717588	0.25283784	0.24441664	2
java.awt.BufferCapabilities	-0.09266515	-0.80612123	-0.26505038	0.11108117	-0.3961349	-0.510674	-0.03314752	-0.8342625	0.20888126	-0.62207496	0.034383666	-0.2076186	-0.25736558	-0.19389722	-0.02757054	0.20695183	-0.19068086	-0.45059457	0.33571574	0.89411515	0.9212197	0.7843344	0.24937233	0.28896043	0.44180655	0.32424057	-0.2947241	0.36441714	-0.14835115	-0.30463484	0.23953167	0.46645054	2
