m#node	C#degree	C#pagerank	C#clustering	C#closeness	C#betweenness	D#leiden	D#infomap	cD#class
1	0.484848	0.097002	0.150000	0.568966	0.437635	1	1	1
2	0.272727	0.052878	0.333333	0.485294	0.053937	1	1	1
3	0.303030	0.057078	0.244444	0.559322	0.143657	1	1	1
4	0.181818	0.035861	0.666667	0.464789	0.011909	1	1	1
5	0.090909	0.021979	0.666667	0.379310	0.000631	3	2	1
6	0.121212	0.029113	0.500000	0.383721	0.029987	3	2	1
7	0.121212	0.029113	0.500000	0.383721	0.029987	3	2	1
8	0.121212	0.024491	1.000000	0.440000	0.000000	1	1	1
9	0.151515	0.029765	0.500000	0.515625	0.055927	0	0	2
10	0.060606	0.014309	0.000000	0.434211	0.000848	0	1	2
11	0.090909	0.021979	0.666667	0.379310	0.000631	3	2	1
12	0.030303	0.009565	0.000000	0.366667	0.000000	1	1	1
13	0.060606	0.014645	1.000000	0.370787	0.000000	1	1	1
14	0.151515	0.029536	0.600000	0.515625	0.045863	1	1	1
15	0.060606	0.014535	1.000000	0.370787	0.000000	0	0	2
16	0.060606	0.014535	1.000000	0.370787	0.000000	0	0	2
17	0.060606	0.016785	1.000000	0.284483	0.000000	3	2	1
18	0.060606	0.014559	1.000000	0.375000	0.000000	1	1	1
19	0.060606	0.014535	1.000000	0.370787	0.000000	0	0	2
20	0.090909	0.019604	0.333333	0.500000	0.032475	1	1	1
21	0.060606	0.014535	1.000000	0.370787	0.000000	0	0	2
22	0.060606	0.014559	1.000000	0.375000	0.000000	1	1	1
23	0.060606	0.014535	1.000000	0.370787	0.000000	0	0	2
24	0.151515	0.031521	0.400000	0.392857	0.017614	2	0	2
25	0.090909	0.021075	0.333333	0.375000	0.002210	2	0	2
26	0.090909	0.021006	0.333333	0.375000	0.003840	2	0	2
27	0.060606	0.015043	1.000000	0.362637	0.000000	0	0	2
28	0.121212	0.025639	0.166667	0.458333	0.022333	2	0	2
29	0.090909	0.019573	0.333333	0.452055	0.001795	2	0	2
30	0.121212	0.026287	0.666667	0.383721	0.002922	0	0	2
31	0.121212	0.024589	0.500000	0.458333	0.014412	0	0	2
32	0.181818	0.037157	0.200000	0.540984	0.138276	2	0	2
33	0.363636	0.071692	0.196970	0.515625	0.145247	0	0	2
34	0.515152	0.100918	0.110294	0.550000	0.304075	0	0	2
