m#node	C#node2vec-0	C#node2vec-1	C#node2vec-2	C#node2vec-3	C#node2vec-4	C#node2vec-5	C#node2vec-6	C#node2vec-7	C#node2vec-8	C#node2vec-9	C#node2vec-10	C#node2vec-11	C#node2vec-12	C#node2vec-13	C#node2vec-14	C#node2vec-15	C#node2vec-16	C#node2vec-17	C#node2vec-18	C#node2vec-19	C#node2vec-20	C#node2vec-21	C#node2vec-22	C#node2vec-23	C#node2vec-24	C#node2vec-25	C#node2vec-26	C#node2vec-27	C#node2vec-28	C#node2vec-29	C#node2vec-30	C#node2vec-31	cD#class
1	-0.3187342	-0.26303837	0.35563853	0.14430343	-0.05366676	-0.24004322	0.21496816	-0.07611584	-0.0144690955	0.18503621	-0.014092929	-0.20542781	0.11816289	-0.34765917	-0.3393123	-0.06102458	0.10925081	0.15250786	-0.11571379	0.26237282	-0.00400578	0.0816392	0.5884625	-0.21251382	0.18229347	-0.061734013	-0.27437958	0.26738295	-0.04812832	-0.16079423	-0.41057733	0.069790445	1
2	-0.15926759	-0.08285585	0.4612345	0.12180413	-0.17443343	-0.2820806	0.33493054	0.020830909	-0.028834078	0.22451913	0.042842586	-0.062488344	0.034486733	-0.1662256	-0.3295941	-0.12304474	0.00074172043	0.37807587	-0.09407448	0.31423247	0.160921	0.05159078	0.63063776	-0.40789506	0.18508667	-0.09130063	-0.07376226	0.110464275	0.1390927	-0.19445813	-0.43301356	0.15350467	1
3	-0.35781077	-0.13047889	0.38565293	0.25058916	-0.07764467	-0.21820931	0.37177402	-0.03508391	0.075738005	0.11375475	-0.04106934	-0.0025506914	0.020251935	-0.20282629	-0.18329845	-0.106420405	-0.08705485	0.158938	0.08391256	0.299715	0.18875958	0.09370171	0.49289942	-0.3582559	0.13965213	-0.180504	-0.12463368	0.047231346	0.07738294	-0.20202702	-0.20707558	0.10797004	1
4	-0.28149462	-0.09913571	0.38934445	0.122226335	-0.16066222	-0.25052598	0.3744089	-0.06232266	0.036089968	0.27574515	-0.02145427	-0.12616545	0.064832784	-0.14449549	-0.2586244	-0.14087337	-0.03401799	0.32148194	-0.06438016	0.27171078	0.11663688	0.08764237	0.63875777	-0.40622082	0.23328127	-0.107603446	-0.095244676	0.013125877	0.17121965	-0.21909918	-0.4794226	0.13792996	1
5	-0.6016357	-0.4150843	0.29942113	0.0022869254	-0.005827897	-0.16987734	0.03720665	-0.12299128	0.07027411	0.2395848	0.26379406	-0.29461652	0.14628331	-0.519451	-0.35170642	-0.11832628	0.14506526	0.016039422	-0.119738616	0.22751187	-0.16871639	0.026802713	0.6512837	0.092908874	0.28550217	0.21969202	-0.40445507	0.29429534	-0.08723375	-0.1771209	-0.5716522	0.0727467	1
6	-0.69300246	-0.4727058	0.28932542	0.043425076	0.053824063	-0.17618246	-0.043454945	-0.17351885	0.16409671	0.27470955	0.23760574	-0.28202873	0.22706135	-0.60093594	-0.38144416	-0.06439393	0.13580197	-0.109960906	-0.1423204	0.16921644	-0.17801973	0.14265575	0.5964008	0.13566549	0.26569244	0.25146788	-0.5535925	0.3829207	-0.14827289	-0.09791559	-0.5421365	0.0721443	1
7	-0.6361477	-0.44015563	0.30144924	0.05723967	0.019954044	-0.08175247	0.05726027	-0.10621237	0.19182324	0.31134707	0.26663437	-0.3285268	0.23218322	-0.5628575	-0.37133014	-0.03054758	0.15464517	-0.027503407	-0.20236905	0.22428343	-0.17167468	0.21633945	0.5953384	0.072274856	0.24661264	0.22442095	-0.47792962	0.364112	-0.12449871	-0.072200395	-0.5848253	0.092097856	1
8	-0.19836089	-0.09665349	0.42002332	0.1780376	-0.1575184	-0.2590272	0.31680396	-0.04559227	0.026897404	0.19954246	-0.09100769	-0.07660499	0.028634647	-0.1681302	-0.2326762	-0.0950363	0.06401959	0.22711305	-0.069931984	0.3180101	0.12967987	0.10085393	0.5863663	-0.3666623	0.19873108	-0.12157055	-0.13637869	0.11721233	0.14675292	-0.21019255	-0.41424435	0.17900288	1
9	-0.1153294	-0.07996725	0.42531916	0.18209808	-0.13733575	-0.121501945	0.2932218	0.25365496	0.06731948	-0.024510432	0.35778773	-0.19619231	-0.18500873	-0.086770914	-0.30042377	-0.21046422	0.015884139	0.037659265	0.04436956	0.4095423	0.23980758	0.016357815	0.5449517	-0.1388709	0.028583247	0.029877037	-0.056529008	0.071133666	-0.07228783	-0.36463848	-0.098653935	0.116788074	2
10	-0.20182423	-0.04867702	0.47842237	0.25275847	-0.11033723	-0.20517872	0.29390132	0.068991214	0.09183026	-0.021482246	-0.058451742	0.024567535	-0.10496377	-0.058974084	-0.18479303	-0.20385125	-0.09584822	0.02843926	0.2706629	0.35395566	0.31629184	0.09927116	0.47848952	-0.28793865	0.010736922	-0.105827294	-0.14593522	0.059425153	0.047775354	-0.35930017	0.0069221463	0.16370538	2
