m#node	C#degree	C#pagerank	C#clustering	C#closeness	C#betweenness	D#leiden	D#infomap	cD#class
Peter Kolbezen	0.007364	0.001442	0.600000	0.160549	0.000017	4	0	0
Jernej Virant	0.008837	0.001661	0.600000	0.138333	0.004336	11	2	1
Vojko Strle	0.000000	0.000267	0.000000	0.000000	0.000000	34	25	0
Aleksandra Kornhauser	0.007364	0.002012	0.600000	0.151646	0.000825	6	0	0
Tomaž Banovec	0.000000	0.000267	0.000000	0.000000	0.000000	35	26	0
Igor Grabec	0.011782	0.006675	0.035714	0.011782	0.000117	12	4	7
Tatjana Kapus	0.010309	0.002297	0.428571	0.144368	0.000405	1	1	1
Pero Šobot	0.002946	0.000757	1.000000	0.160862	0.000000	5	1	5
Vladislav Rajkovič	0.042710	0.008001	0.123153	0.250108	0.086414	9	0	7
Rudi Murn	0.007364	0.001519	0.600000	0.162123	0.001080	4	0	1
Marjan Pivka	0.001473	0.001777	0.000000	0.001473	0.000000	21	12	5
Jože Zupančič	0.010309	0.002555	0.333333	0.185582	0.005082	9	0	5
Zvonimir Jamšek	0.000000	0.000267	0.000000	0.000000	0.000000	36	27	3
Marjan Krisper	0.044183	0.006542	0.170115	0.257905	0.086598	7	1	5
Boris Sobočan	0.000000	0.000267	0.000000	0.000000	0.000000	37	28	1
Boris Glavič	0.002946	0.001172	1.000000	0.138507	0.000000	6	0	5
Zmago Brezočnik	0.017673	0.003304	0.227273	0.164459	0.009373	1	1	1
Zoran Radalj	0.000000	0.000267	0.000000	0.000000	0.000000	38	29	7
John Shawe-Taylor	0.000000	0.000267	0.000000	0.000000	0.000000	39	30	5
Rafael Črv	0.000000	0.000267	0.000000	0.000000	0.000000	40	31	5
Mirko Vintar	0.007364	0.001469	0.700000	0.179248	0.000687	0	0	5
Saša Divjak	0.011782	0.003526	0.142857	0.191267	0.026673	6	0	3
Andrej Dobnikar	0.020619	0.003929	0.175824	0.194757	0.032350	3	2	7
Ivan Bratko	0.053019	0.008157	0.173016	0.235009	0.025348	0	0	7
Veselko Guštin	0.010309	0.002124	0.238095	0.170475	0.008224	3	2	1
Vid Mikulič	0.000000	0.000267	0.000000	0.000000	0.000000	41	32	5
Mitja Lasič	0.004418	0.001073	1.000000	0.175075	0.000000	4	0	1
Dušan Peček	0.007364	0.001519	0.600000	0.162123	0.001080	4	0	0
Viktor Vaupot	0.007364	0.001275	0.600000	0.163242	0.000947	1	1	7
Marko Bohanec	0.033873	0.005576	0.217391	0.233187	0.020579	0	0	0
Marjan Špegel	0.013255	0.002885	0.222222	0.189190	0.006467	4	0	1
Peter Tancig	0.002946	0.000764	0.000000	0.177613	0.000121	0	0	5
Bruno Stiglic	0.030928	0.004273	0.333333	0.192491	0.006305	2	1	5
Viljem Žumer	0.044183	0.006322	0.206897	0.200906	0.021772	1	1	1
Ivan Vezočnik	0.017673	0.002563	0.469697	0.205523	0.003308	2	1	0
Viljan Mahnič	0.017673	0.003419	0.166667	0.231070	0.015500	7	1	3
Igor Mozetič	0.026510	0.004159	0.248366	0.206679	0.007199	0	0	0
Saša Prešern	0.002946	0.000783	1.000000	0.131672	0.000000	4	0	1
Franc Jager	0.013255	0.004309	0.055556	0.172610	0.013068	6	0	3
Peter Reinhardt	0.007364	0.001565	0.600000	0.182915	0.000352	4	0	1
Tone Vidmar	0.008837	0.001777	0.733333	0.154912	0.000117	3	2	1
Senta Šetinc	0.000000	0.000267	0.000000	0.000000	0.000000	42	33	5
Peter Kokol	0.047128	0.006267	0.243952	0.204381	0.012454	1	1	0
Nikola Guid	0.022091	0.004434	0.161905	0.176194	0.010658	5	1	3
Igor Škraba	0.001473	0.000576	0.000000	0.156673	0.000000	4	2	1
Tomaž Mohorič	0.004418	0.000849	0.333333	0.205396	0.002347	7	1	5
