m#node	C#node2vec-0	C#node2vec-1	C#node2vec-2	C#node2vec-3	C#node2vec-4	C#node2vec-5	C#node2vec-6	C#node2vec-7	C#node2vec-8	C#node2vec-9	C#node2vec-10	C#node2vec-11	C#node2vec-12	C#node2vec-13	C#node2vec-14	C#node2vec-15	C#node2vec-16	C#node2vec-17	C#node2vec-18	C#node2vec-19	C#node2vec-20	C#node2vec-21	C#node2vec-22	C#node2vec-23	C#node2vec-24	C#node2vec-25	C#node2vec-26	C#node2vec-27	C#node2vec-28	C#node2vec-29	C#node2vec-30	C#node2vec-31	cD#class
Peter Kolbezen	0.013444039	-0.19315909	0.34139317	0.928136	0.52127564	-0.26073843	-0.4531242	0.27897292	0.18219496	-0.9572875	0.43608093	-0.26053733	0.22293293	-0.6002955	-0.0030253646	0.96494913	-0.7791715	0.67837155	0.08225012	-0.27491066	0.91468835	0.86185163	1.0328231	-0.7385096	0.36832306	0.5475182	-0.6158174	-0.40388456	0.4000732	-0.09543914	1.3528339	-0.5451682	0
Jernej Virant	0.07364365	0.7068783	0.39099318	-0.35434243	0.45495746	-0.32604834	-1.1518022	-0.7784042	-1.5048144	-0.23852836	0.9105729	-0.884891	0.12183123	0.26089308	0.05335497	0.5801983	0.6275403	0.45565274	0.2018652	-0.54212165	1.5821397	1.4443519	0.30383435	-0.26248932	-0.023838667	-0.31065553	-1.145773	0.97567177	-0.33510163	-0.5736548	1.1064844	-0.06307032	1
Vojko Strle	2.5056303e-05	0.0076639354	-0.02034016	0.011193305	-0.015343875	-0.01969248	0.03035856	0.026693963	-0.019965902	0.0060891733	-0.0052334443	-0.0139288455	0.014637321	0.025110826	-0.010294855	0.00859037	-0.019647233	0.028442867	0.0085942	-0.001232259	0.013294674	0.01258488	-0.010486364	-0.0036481693	-0.02196832	-0.012020573	-0.019497097	0.012625791	-0.0052844062	-0.015577212	-0.028172687	0.00040270388	0
Aleksandra Kornhauser	1.5148697	-0.3448804	-0.053622015	-0.4955122	0.37877688	-0.8674453	-0.7981918	0.40651128	0.24783084	-0.8169825	-0.7070665	0.008810846	0.54639834	-0.64375174	0.1659703	0.76882625	0.24798368	0.8896731	-0.5891779	0.30844554	1.1800954	-0.79032683	0.7605411	-0.18219566	1.0832298	-0.42531836	-0.41399467	0.05459313	-1.1734298	-0.18523782	1.6932518	0.67608494	0
Tomaž Banovec	0.014020994	0.005279757	-0.027078502	0.002728358	-0.0051706284	-0.019090325	-0.011342816	-0.017533563	-0.025358923	0.014461786	0.027353257	-0.0130511075	-0.015649065	0.005554527	0.0042770877	-0.0191373	-0.022879861	-0.006757699	-0.014844418	0.03087847	0.013555884	-0.002116546	-0.0013066009	-0.015293315	-0.024821848	0.029156327	-0.030705675	0.024569668	-0.01515498	0.015445232	-0.024959236	0.019423641	0
Igor Grabec	0.7972177	-1.1861192	1.4121608	-0.5723415	0.17009719	-1.9972826	-1.5216857	-0.06656119	-0.6245092	-0.5808332	0.6971608	0.16066532	-0.28223458	-1.2392054	-0.31911424	0.34739417	-0.21954921	0.45032606	-0.8885844	-0.48187125	1.0036697	1.8430083	1.5078349	0.58874893	0.48490864	0.52161384	-1.6474485	0.69684094	-0.67002827	0.15872438	0.2890557	0.6983577	7
Tatjana Kapus	0.7921825	0.0098265875	-0.20625795	-1.9916346	-0.35536036	-1.235317	-0.02214646	-0.84035516	-0.6717831	-0.519076	-0.33366624	-0.38515127	-0.42404047	-0.032407865	-0.91814536	1.0427371	-0.5653095	0.28151587	-0.62707853	0.67321366	1.3663273	0.8066578	0.68105936	-0.15147714	0.8772572	-0.49096715	-0.64411724	-0.657034	0.43529576	-0.73121846	0.6099079	0.32134303	1
Pero Šobot	0.011998292	0.03688163	0.6329708	-0.022493834	-0.4064415	-0.031244047	-0.1356222	-0.37927005	-0.20253904	0.29422238	-0.002266206	-0.25617695	-0.90613574	-0.06368994	0.41444162	1.0430866	-0.2529759	0.28400874	-0.61920166	0.9049748	0.2637523	1.1344717	1.5016155	-0.9517729	0.22271016	0.18589815	-1.109216	-0.81125104	0.21454997	-0.27481782	0.4247271	-0.10489176	5
Vladislav Rajkovič	0.35121247	-0.48722723	-0.85781306	0.010221365	0.45042202	-0.53345233	-0.5948162	0.19317922	-0.31264845	-0.43055832	-0.59388447	-0.25888667	0.60156727	-0.14357266	0.5691463	0.11129503	0.062950514	0.60167676	-0.14941837	0.3591544	0.94141454	-0.29246333	0.57331043	-0.4236342	0.2776631	0.06137072	0.058932934	0.27903736	-0.36946	-0.49755093	0.000945182	-0.04858441	7
Rudi Murn	0.18874861	-0.47295916	0.6125932	0.22806469	0.43890935	0.1421315	-0.7657475	0.6138542	0.4230695	-0.6207065	0.90074974	-0.026908778	0.39013433	-0.1636972	0.39963624	1.4433432	-0.18108036	0.2960857	0.98700786	0.017984282	1.0252078	0.61401194	0.9624715	-0.5125646	0.51128757	0.47074962	-0.58401525	-0.40859136	0.90975016	-0.5097216	0.7839335	0.15798162	1
